"ref_id","reference"
"Ref0188","AMČR: Záznam P-0343-000036 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000036."
"Ref0189","AMČR: Záznam P-0343-000038 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000038."
"Ref0190","AMČR: Záznam P-0343-000039 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000039."
"Ref0191","AMČR: Záznam P-0343-000049 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000049."
"Ref0192","AMČR: Záznam P-0343-000130 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000130."
"Ref0193","AMČR: Záznam P-0343-000143 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000143."
"Ref0194","AMČR: Záznam P-0343-000233 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000233."
"Ref0195","AMČR: Záznam P-0343-000239 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000239."
"Ref0196","AMČR: Záznam P-0343-000294 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000294."
"Ref0197","AMČR: Záznam P-1222-000034 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000034."
"Ref0198","AMČR: Záznam P-1222-000050 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000050."
"Ref0199","AMČR: Záznam P-1222-000222 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000222."
"Ref0200","AMČR: Záznam P-1222-000237 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000237."
"Ref0201","AMČR: Záznam P-1222-000293 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000293."
"Ref0202","AMČR: Záznam P-1224-000031 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000031."
"Ref0203","AMČR: Záznam P-1224-000077 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000077."
"Ref0204","AMČR: Záznam P-1224-000150 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000150."
"Ref0205","AMČR: Záznam P-1224-000205 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000205."
"Ref0206","AMČR: Záznam P-1224-000213 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000213."
"Ref0207","AMČR: Záznam P-1224-000222 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000222."
"Ref0208","AMČR: Záznam P-1224-000546 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000546."
"Ref0209","AMČR: Záznam P-1224-000547 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000547."
"Ref0210","AMČR: Záznam P-1224-000954 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000954."
"Ref0211","AMČR: Záznam P-1224-000992 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000992."
"Ref0212","AMČR: Záznam P-1224-001004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001004."
"Ref0213","AMČR: Záznam P-1224-001046 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001046."
"Ref0214","AMČR: Záznam P-1224-001065 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001065."
"Ref0215","AMČR: Záznam P-1224-001103 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001103."
"Ref0216","AMČR: Záznam P-1224-001106 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001106."
"Ref0217","AMČR: Záznam P-1224-001151 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001151."
"Ref0218","AMČR: Záznam P-1224-001221 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001221."
"Ref0219","AMČR: Záznam P-1224-001250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001250."
"Ref0220","AMČR: Záznam P-1224-001251 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001251."
"Ref0221","AMČR: Záznam P-1224-001296 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001296."
"Ref0222","AMČR: Záznam P-1224-001376 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001376."
"Ref0223","AMČR: Záznam P-1224-001393 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001393."
"Ref0224","AMČR: Záznam P-1224-001413 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001413."
"Ref0225","AMČR: Záznam P-1224-001415 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001415."
"Ref0226","AMČR: Záznam P-1224-001453 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001453."
"Ref0227","AMČR: Záznam P-1224-001534 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001534."
"Ref0228","AMČR: Záznam P-1224-001586 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001586."
"Ref0229","AMČR: Záznam P-1242-000008 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000008."
"Ref0230","AMČR: Záznam P-1242-000010 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000010."
"Ref0231","AMČR: Záznam P-1242-000014 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000014."
"Ref0232","AMČR: Záznam P-1242-000018 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000018."
"Ref0233","AMČR: Záznam P-1242-000022 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000022."
"Ref0234","AMČR: Záznam P-1242-000024 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000024."
"Ref0235","AMČR: Záznam P-1242-000033 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000033."
"Ref0236","AMČR: Záznam P-1242-000052 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000052."
"Ref0237","AMČR: Záznam P-1242-000081 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000081."
"Ref0238","AMČR: Záznam P-1242-000338 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000338."
"Ref0239","AMČR: Záznam P-1312-000004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000004."
"Ref0240","AMČR: Záznam P-1312-000008 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000008."
"Ref0241","AMČR: Záznam P-1312-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000019."
"Ref0242","AMČR: Záznam P-1312-000025 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000025."
"Ref0243","AMČR: Záznam P-1312-000026 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000026."
"Ref0244","AMČR: Záznam P-1312-000067 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000067."
"Ref0245","AMČR: Záznam P-1312-000068 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000068."
"Ref0246","AMČR: Záznam P-1312-000087 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000087."
"Ref0247","AMČR: Záznam P-1313-000004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000004."
"Ref0248","AMČR: Záznam P-1313-000034 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000034."
"Ref0249","AMČR: Záznam P-1313-000055 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000055."
"Ref0250","AMČR: Záznam P-1313-000070 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000070."
"Ref0251","AMČR: Záznam P-1313-000176 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000176."
"Ref0252","AMČR: Záznam P-1313-000180 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000180."
"Ref0253","AMČR: Záznam P-1313-000435 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000435."
"Ref0254","AMČR: Záznam P-1313-000445 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000445."
"Ref0255","AMČR: Záznam P-1313-000486 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000486."
"Ref0256","AMČR: Záznam P-1313-000488 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000488."
"Ref0257","AMČR: Záznam P-1313-000510 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000510."
"Ref0258","AMČR: Záznam P-1313-000537 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000537."
"Ref0259","AMČR: Záznam P-1313-000615 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000615."
"Ref0260","AMČR: Záznam P-1313-000654 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000654."
"Ref0261","AMČR: Záznam P-1313-000677 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000677."
"Ref0262","AMČR: Záznam P-1313-000714 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000714."
"Ref0263","AMČR: Záznam P-1313-000815 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000815."
"Ref0264","AMČR: Záznam P-1313-000825 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000825."
"Ref0265","AMČR: Záznam P-1313-000874 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000874."
"Ref0266","AMČR: Záznam P-1313-000926 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000926."
"Ref0267","AMČR: Záznam P-1313-000951 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000951."
"Ref0268","AMČR: Záznam P-1313-000967 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000967."
"Ref0269","AMČR: Záznam P-1313-000976 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000976."
"Ref0270","AMČR: Záznam P-1313-001072 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001072."
"Ref0271","AMČR: Záznam P-1313-001074 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001074."
"Ref0272","AMČR: Záznam P-1313-001111 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001111."
"Ref0273","AMČR: Záznam P-1313-001164 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001164."
"Ref0274","AMČR: Záznam P-1313-001165 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001165."
"Ref0275","AMČR: Záznam P-1313-001199 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001199."
"Ref0276","AMČR: Záznam P-1313-001235 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001235."
"Ref0277","AMČR: Záznam P-1313-001249 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001249."
"Ref0278","AMČR: Záznam P-1314-000037 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000037."
"Ref0279","AMČR: Záznam P-1314-000083 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000083."
"Ref0280","AMČR: Záznam P-1314-000132 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000132."
"Ref0281","AMČR: Záznam P-1314-000205 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000205."
"Ref0282","AMČR: Záznam P-1314-000265 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000265."
"Ref0283","AMČR: Záznam P-1314-000267 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000267."
"Ref0284","AMČR: Záznam P-1314-000291 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000291."
"Ref0285","AMČR: Záznam P-1314-000337 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000337."
"Ref0286","AMČR: Záznam P-1321-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000019."
"Ref0287","AMČR: Záznam P-1321-000023 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000023."
"Ref0288","AMČR: Záznam P-1321-000027 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000027."
"Ref0289","AMČR: Záznam P-1321-000067 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000067."
"Ref0290","AMČR: Záznam P-1321-000068 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000068."
"Ref0291","AMČR: Záznam P-1321-000106 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000106."
"Ref0292","AMČR: Záznam P-1321-000113 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000113."
"Ref0293","AMČR: Záznam P-1321-000138 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000138."
"Ref0294","AMČR: Záznam P-1321-000141 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000141."
"Ref0295","AMČR: Záznam P-1321-000151 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000151."
"Ref0296","AMČR: Záznam P-1321-000154 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000154."
"Ref0297","AMČR: Záznam P-1321-000156 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000156."
"Ref0298","AMČR: Záznam P-1321-000160 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000160."
"Ref0299","AMČR: Záznam P-1321-000180 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000180."
"Ref0300","AMČR: Záznam P-1321-000187 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000187."
"Ref0301","AMČR: Záznam P-1321-000204 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000204."
"Ref0302","AMČR: Záznam P-1321-000250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000250."
