id,reference
B0554,AMČR: Záznam P-0334-000250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000250.
B0487,AMČR: Záznam P-0334-000266 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000266.
B0032,AMČR: Záznam P-0334-000270 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000270.
B0300,AMČR: Záznam P-0334-000274 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000274.
B0610,AMČR: Záznam P-0334-000326 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000326.
B0351,AMČR: Záznam P-0334-000343 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000343.
B0499,AMČR: Záznam P-0334-000345 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000345.
B0610,AMČR: Záznam P-0334-000364 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000364.
B0209,AMČR: Záznam P-0343-000036 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000036.
B0213,AMČR: Záznam P-0343-000038 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000038.
B0213,AMČR: Záznam P-0343-000039 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000039.
B0573,AMČR: Záznam P-0343-000049 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000049.
B0484,AMČR: Záznam P-0343-000130 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000130.
B0485,AMČR: Záznam P-0343-000143 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000143.
B0233,AMČR: Záznam P-0343-000233 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000233.
B0234,AMČR: Záznam P-0343-000233 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000233.
B0573,AMČR: Záznam P-0343-000239 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000239.
B0574,AMČR: Záznam P-0343-000294 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0343-000294.
B0374,AMČR: Záznam P-1222-000034 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000034.
B0294,AMČR: Záznam P-1222-000050 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000050.
B0420,AMČR: Záznam P-1222-000222 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000222.
B0420,AMČR: Záznam P-1222-000237 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000237.
B0373,AMČR: Záznam P-1222-000293 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1222-000293.
B0206,AMČR: Záznam P-1224-000031 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000031.
B0563,AMČR: Záznam P-1224-000077 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000077.
B0567,AMČR: Záznam P-1224-000150 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000150.
B0125,AMČR: Záznam P-1224-000205 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000205.
B0564,AMČR: Záznam P-1224-000213 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000213.
B0564,AMČR: Záznam P-1224-000222 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000222.
B0119,AMČR: Záznam P-1224-000546 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000546.
B0119,AMČR: Záznam P-1224-000547 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000547.
B0215,AMČR: Záznam P-1224-000954 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000954.
B0564,AMČR: Záznam P-1224-000992 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-000992.
B0321,AMČR: Záznam P-1224-001004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001004.
B0155,AMČR: Záznam P-1224-001046 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001046.
B0154,AMČR: Záznam P-1224-001065 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001065.
B0006,AMČR: Záznam P-1224-001103 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001103.
B0006,AMČR: Záznam P-1224-001106 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001106.
B0005,AMČR: Záznam P-1224-001151 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001151.
B0217,AMČR: Záznam P-1224-001221 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001221.
B0004,AMČR: Záznam P-1224-001250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001250.
B0219,AMČR: Záznam P-1224-001251 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001251.
B0022,AMČR: Záznam P-1224-001296 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001296.
B0023,AMČR: Záznam P-1224-001296 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001296.
B0589,AMČR: Záznam P-1224-001376 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001376.
B0347,AMČR: Záznam P-1224-001393 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001393.
B0568,AMČR: Záznam P-1224-001413 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001413.
B0025,AMČR: Záznam P-1224-001415 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001415.
B0134,AMČR: Záznam P-1224-001453 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001453.
B0280,AMČR: Záznam P-1224-001534 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001534.
B0031,AMČR: Záznam P-1224-001586 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1224-001586.
B0110,AMČR: Záznam P-1242-000008 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000008.
B0109,AMČR: Záznam P-1242-000010 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000010.
B0109,AMČR: Záznam P-1242-000014 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000014.
B0109,AMČR: Záznam P-1242-000018 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000018.
B0109,AMČR: Záznam P-1242-000022 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000022.
B0108,AMČR: Záznam P-1242-000024 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000024.
B0384,AMČR: Záznam P-1242-000033 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000033.
B0602,AMČR: Záznam P-1242-000052 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000052.
B0108,AMČR: Záznam P-1242-000081 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000081.
B0111,AMČR: Záznam P-1242-000338 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1242-000338.
B0250,AMČR: Záznam P-1312-000004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000004.
B0283,AMČR: Záznam P-1312-000008 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000008.
B0582,AMČR: Záznam P-1312-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000019.
B0284,AMČR: Záznam P-1312-000025 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000025.
B0284,AMČR: Záznam P-1312-000026 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000026.
B0283,AMČR: Záznam P-1312-000067 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000067.
B0468,AMČR: Záznam P-1312-000068 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000068.
B0458,AMČR: Záznam P-1312-000087 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1312-000087.
B0521,AMČR: Záznam P-1313-000004 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000004.
B0417,AMČR: Záznam P-1313-000034 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000034.
B0348,AMČR: Záznam P-1313-000055 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000055.
B0344,AMČR: Záznam P-1313-000070 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000070.
B0508,AMČR: Záznam P-1313-000176 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000176.
B0471,AMČR: Záznam P-1313-000180 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000180.
B0594,AMČR: Záznam P-1313-000435 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000435.
B0596,AMČR: Záznam P-1313-000445 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000445.
B0346,AMČR: Záznam P-1313-000486 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000486.
B0345,AMČR: Záznam P-1313-000488 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000488.
B0588,AMČR: Záznam P-1313-000510 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000510.
B0279,AMČR: Záznam P-1313-000537 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000537.
B0074,AMČR: Záznam P-1313-000615 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000615.
B0071,AMČR: Záznam P-1313-000654 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000654.
B0590,AMČR: Záznam P-1313-000677 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000677.
B0348,AMČR: Záznam P-1313-000714 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000714.
B0601,AMČR: Záznam P-1313-000815 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000815.
B0587,AMČR: Záznam P-1313-000825 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000825.
B0507,AMČR: Záznam P-1313-000874 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000874.
B0277,AMČR: Záznam P-1313-000926 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000926.
B0210,AMČR: Záznam P-1313-000951 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000951.
B0271,AMČR: Záznam P-1313-000967 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000967.
B0595,AMČR: Záznam P-1313-000976 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-000976.
B0497,AMČR: Záznam P-1313-001072 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001072.
B0592,AMČR: Záznam P-1313-001074 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001074.
B0592,AMČR: Záznam P-1313-001111 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001111.
B0497,AMČR: Záznam P-1313-001164 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001164.
B0497,AMČR: Záznam P-1313-001165 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001165.
B0072,AMČR: Záznam P-1313-001199 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001199.
B0072,AMČR: Záznam P-1313-001235 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001235.
B0507,AMČR: Záznam P-1313-001249 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1313-001249.
B0368,AMČR: Záznam P-1314-000037 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000037.
B0450,AMČR: Záznam P-1314-000083 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000083.
B0054,AMČR: Záznam P-1314-000132 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000132.
B0370,AMČR: Záznam P-1314-000205 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000205.
B0368,AMČR: Záznam P-1314-000265 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000265.
B0368,AMČR: Záznam P-1314-000267 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000267.
B0548,AMČR: Záznam P-1314-000291 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000291.
B0548,AMČR: Záznam P-1314-000291 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000291.
B0368,AMČR: Záznam P-1314-000337 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1314-000337.
B0386,AMČR: Záznam P-1321-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000019.
B0524,AMČR: Záznam P-1321-000023 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000023.
B0387,AMČR: Záznam P-1321-000027 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000027.
B0136,AMČR: Záznam P-1321-000067 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000067.
B0366,AMČR: Záznam P-1321-000068 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000068.
B0546,AMČR: Záznam P-1321-000106 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000106.
B0466,AMČR: Záznam P-1321-000113 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000113.
B0385,AMČR: Záznam P-1321-000138 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000138.
B0475,AMČR: Záznam P-1321-000141 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000141.
B0546,AMČR: Záznam P-1321-000151 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000151.
B0356,AMČR: Záznam P-1321-000154 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000154.
B0476,AMČR: Záznam P-1321-000156 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000156.
B0385,AMČR: Záznam P-1321-000160 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000160.
B0331,AMČR: Záznam P-1321-000180 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000180.
B0385,AMČR: Záznam P-1321-000187 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000187.
B0367,AMČR: Záznam P-1321-000204 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000204.
B0466,AMČR: Záznam P-1321-000250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000250.
B0576,AMČR: Záznam P-1321-000255 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1321-000255.
B0010,AMČR: Záznam P-1322-000001 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000001.
B0144,AMČR: Záznam P-1322-000002 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000002.
B0478,AMČR: Záznam P-1322-000017 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000017.
B0459,AMČR: Záznam P-1322-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000019.
B0460,AMČR: Záznam P-1322-000019 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000019.
B0202,AMČR: Záznam P-1322-000036 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000036.
B0011,AMČR: Záznam P-1322-000040 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000040.
B0013,AMČR: Záznam P-1322-000044 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-1322-000044.
